fileName,anomaly,gan,isolation,method1,method2,method3,pca,allblack,colored,getcenterkernelized,autoencoder,diff_encoder,feat1,feat2,feat3,feat4
ID_e68ae74ee.png,1,21768.32617,-1,1667,394,841,-14.44981203,10907,0,36,-139075.7188,258,0.154259104,0.220430262,0,0.00446701
216840111366964013534861372972012352132855467_02-004-184.png,0,13094.40039,1,3298,1646,1681,-11.01617207,1786,0,1297,-163665.375,503,0.61489627,0.072518382,0,0.001913071
216840111366964012487858717522009273125130153_00-019-177.png,1,12542.60352,1,2754,628,1444,-11.17782299,2844,0,459,-102584.7578,594,0.303043442,0.193048215,0,0.003288269
216840111366964012901624094902010323125921432_04-019-018.png,0,8777.457031,1,3504,612,1369,-7.623900897,1198,0,939,-235292.0156,376,0.650268763,0.066775812,0,0.001527786
304832045137805425547660202092267240921_yc96k0.png,0,15191.93945,1,2336,166,256,-15.54661563,142,0,28,-161882.1719,56,0.693352311,0.061308019,0,0.002603531
ID_791499311.png,1,19344.63672,-1,807,162,25,-6.824103013,14499,0,2,-132448.4063,660,0.029324674,0.332989622,0,0.005975723
15403.png,1,14650.42773,-1,1978,858,625,-19.90081026,7362,0,863,19948.96094,384,0.286776295,0.295526003,0,0.002670288
216840111366964013451228379692012296114231694_01-124-116.png,1,13965.74609,1,2231,4255,900,-11.55696375,0,0,102,-108497.8438,218,0.296191308,0.195825674,0,0.002443314
4670.png,1,11227.85547,-1,2343,1481,1089,-10.89818182,6014,0,1399,-102385.6797,468,0.26292489,0.236447802,0,0.001686096
216840111366964012487858717522009223103027905_00-005-188.png,0,11222.97949,1,2670,1567,1296,-14.5327921,3501,0,665,-306358.8125,432,0.346933385,0.175482537,0,0.003190994
216840111366964013590140476722013079093649353_02-050-115.png,1,13646.16699,1,2498,977,1521,-6.874429384,3227,0,568,-71414.61719,436,0.239327444,0.179372511,0,0.002838135
216840111366964012487858717522009225134729643_00-002-097.png,1,15004.57617,1,2266,415,1024,-15.44785238,5401,0,202,-170236.75,287,0.150511645,0.209140434,0,0.003404617
216840111366964013686042548532013154122536668_02-029-022.png,0,14382.19238,1,2690,890,961,-10.93087265,0,0,227,-143512.0625,203,0.647214315,0.072794118,0,0.001901627
ID_521bcb070.png,1,32484.68555,-1,2099,402,1089,-15.55412382,10728,0,57,-90770.35156,250,0.104545203,0.1922392,0,0.004276276
216840111366964014008416513202014148124225262_01-177-055.png,0,9120.787109,1,3171,1358,1296,-9.838892702,1648,0,383,-214052.0313,450,0.43921008,0.12564051,0,0.002262115
302432673790591279632503415989455518022_pj4zyx.png,1,13015.54297,1,2379,586,1089,2.887171688,5930,0,153,-154992.0469,295,0.201509413,0.163099341,0,0.003610611
216840111366964013200840352202011313100642318_01-031-188.png,0,15569.61328,1,3443,812,3025,-7.986520613,1122,0,867,-154170.8438,334,0.574305734,0.091389974,0,0.001838684
216840111366964012819207061112010264094159991_03-133-044.png,0,14103.24805,1,2568,454,676,-14.85275475,3801,0,284,-232837.8281,235,0.379281783,0.145134421,0,0.002523422
216840111366964013076187734852011209083538606_00-145-050.png,0,11577.23633,1,3117,1110,1764,-4.350815945,678,0,643,-263148.625,343,0.558142522,0.11626168,0,0.002105713
216840111366964012989926673512011123082006381_00-151-171.png,1,14598.75391,1,2366,453,784,-13.14137174,5611,0,93,-190876.1563,206,0.249771601,0.1671358,0,0.003332138
216840111366964012373310883942009209104821404_00-032-074.png,1,17515.98828,1,2319,2284,841,-15.3932527,0,0,110,-114187.7344,166,0.244612046,0.240004596,0,0.003047943
